subject,roi_name,region_type,L_index,R_index,L_volume_mm3,R_volume_mm3,side_ai,log_ai
005,Accumbens-area,subcortical,39,46,496.0,632.0,-0.12056737588652482,-0.24231346742193
005,Amygdala,subcortical,38,45,1560.0,1752.0,-0.057971014492753624,-0.11607217125275401
005,Caudate,subcortical,34,41,3392.0,3448.0,-0.008187134502923977,-0.016374634871790066
005,Cerebellum-Cortex,cerebellum,32,78,50008.0,52176.0,-0.02121662882643075,-0.04243962641745204
005,Hippocampus,subcortical,37,44,3752.0,4496.0,-0.09020368574199807,-0.18089908144741168
005,Pallidum,subcortical,36,43,1832.0,1928.0,-0.02553191489361702,-0.051074929936415395
005,Putamen,subcortical,35,42,4864.0,4856.0,0.0008230452674897119,0.001646090906668717
005,Thalamus-Proper,subcortical,33,40,8120.0,7968.0,0.009448035803083043,0.01889663389128949
005,caudalanteriorcingulate,cortex,1,47,3016.0,2152.0,0.16718266253869968,0.33753380784617165
005,caudalmiddlefrontal,cortex,2,48,4744.0,6112.0,-0.1260132645541636,-0.25337339016879507
005,cuneus,cortex,3,49,5384.0,5264.0,0.011269722013523666,0.022540398319410567
005,entorhinal,cortex,4,50,2160.0,1784.0,0.09533468559837728,0.19125018753825596
005,fusiform,cortex,5,51,9368.0,8848.0,0.02854633289415898,0.05710818151543714
005,inferiorparietal,cortex,6,52,14920.0,16032.0,-0.03592659601964332,-0.0718841301268395
005,inferiortemporal,cortex,7,53,11160.0,11320.0,-0.0071174377224199285,-0.014235115821871985
005,insula,cortex,31,77,5752.0,5984.0,-0.019768234492160874,-0.0395416202534306
005,isthmuscingulate,cortex,8,54,2288.0,2328.0,-0.008665511265164644,-0.017331456351639976
005,lateraloccipital,cortex,9,55,11512.0,13712.0,-0.0872185220424992,-0.1748813922703573
005,lateralorbitofrontal,cortex,10,56,8872.0,8728.0,0.008181818181818182,0.016364001517296216
005,lingual,cortex,11,57,5592.0,7056.0,-0.1157495256166983,-0.23254131377298107
005,medialorbitofrontal,cortex,12,58,4800.0,4488.0,0.03359173126614987,0.0672087496934501
005,middletemporal,cortex,13,59,13040.0,15280.0,-0.07909604519774012,-0.1585232272398676
005,paracentral,cortex,15,61,4024.0,3664.0,0.046826222684703434,0.0937209859855542
005,parahippocampal,cortex,14,60,2464.0,2096.0,0.08070175438596491,0.1617552792124776
005,parsopercularis,cortex,16,62,3848.0,4728.0,-0.10261194029850747,-0.20594874730033708
005,parsorbitalis,cortex,17,63,2312.0,2736.0,-0.08399366085578447,-0.16838404895017295
005,parstriangularis,cortex,18,64,5112.0,4008.0,0.12105263157894737,0.24329835329266997
005,pericalcarine,cortex,19,65,2080.0,2440.0,-0.07964601769911504,-0.15963014559188396
005,postcentral,cortex,20,66,11824.0,11096.0,0.03176265270506108,0.06354668119331554
005,posteriorcingulate,cortex,21,67,3248.0,3128.0,0.018820577164366373,0.03764559961636697
005,precentral,cortex,22,68,13344.0,12328.0,0.03957619196011219,0.07919374759857636
005,precuneus,cortex,23,69,11312.0,11584.0,-0.011879804332634521,-0.023760726489143635
005,rostralanteriorcingulate,cortex,24,70,3032.0,1856.0,0.24058919803600654,0.49079883341611635
005,rostralmiddlefrontal,cortex,25,71,10856.0,12760.0,-0.08062330623306233,-0.16159735538407585
005,superiorfrontal,cortex,26,72,21848.0,24352.0,-0.0541991341991342,-0.10850459750787145
005,superiorparietal,cortex,27,73,13000.0,12256.0,0.029458346531517264,0.05893374446330135
005,superiortemporal,cortex,28,74,18128.0,17984.0,0.003987594151528578,0.007975230574369822
005,supramarginal,cortex,29,75,9960.0,9192.0,0.040100250626566414,0.08024353105005229
005,transversetemporal,cortex,30,76,920.0,792.0,0.07476635514018691,0.14981227822866008
