subject,fs_default_index,name,side,region_type,volume_mm3
005,1,L.caudalanteriorcingulate,L,cortex,3016.0
005,2,L.caudalmiddlefrontal,L,cortex,4744.0
005,3,L.cuneus,L,cortex,5384.0
005,4,L.entorhinal,L,cortex,2160.0
005,5,L.fusiform,L,cortex,9368.0
005,6,L.inferiorparietal,L,cortex,14920.0
005,7,L.inferiortemporal,L,cortex,11160.0
005,8,L.isthmuscingulate,L,cortex,2288.0
005,9,L.lateraloccipital,L,cortex,11512.0
005,10,L.lateralorbitofrontal,L,cortex,8872.0
005,11,L.lingual,L,cortex,5592.0
005,12,L.medialorbitofrontal,L,cortex,4800.0
005,13,L.middletemporal,L,cortex,13040.0
005,14,L.parahippocampal,L,cortex,2464.0
005,15,L.paracentral,L,cortex,4024.0
005,16,L.parsopercularis,L,cortex,3848.0
005,17,L.parsorbitalis,L,cortex,2312.0
005,18,L.parstriangularis,L,cortex,5112.0
005,19,L.pericalcarine,L,cortex,2080.0
005,20,L.postcentral,L,cortex,11824.0
005,21,L.posteriorcingulate,L,cortex,3248.0
005,22,L.precentral,L,cortex,13344.0
005,23,L.precuneus,L,cortex,11312.0
005,24,L.rostralanteriorcingulate,L,cortex,3032.0
005,25,L.rostralmiddlefrontal,L,cortex,10856.0
005,26,L.superiorfrontal,L,cortex,21848.0
005,27,L.superiorparietal,L,cortex,13000.0
005,28,L.superiortemporal,L,cortex,18128.0
005,29,L.supramarginal,L,cortex,9960.0
005,30,L.transversetemporal,L,cortex,920.0
005,31,L.insula,L,cortex,5752.0
005,32,L.Cerebellum-Cortex,L,cerebellum,50008.0
005,33,L.Thalamus-Proper,L,subcortical,8120.0
005,34,L.Caudate,L,subcortical,3392.0
005,35,L.Putamen,L,subcortical,4864.0
005,36,L.Pallidum,L,subcortical,1832.0
005,37,L.Hippocampus,L,subcortical,3752.0
005,38,L.Amygdala,L,subcortical,1560.0
005,39,L.Accumbens-area,L,subcortical,496.0
005,40,R.Thalamus-Proper,R,subcortical,7968.0
005,41,R.Caudate,R,subcortical,3448.0
005,42,R.Putamen,R,subcortical,4856.0
005,43,R.Pallidum,R,subcortical,1928.0
005,44,R.Hippocampus,R,subcortical,4496.0
005,45,R.Amygdala,R,subcortical,1752.0
005,46,R.Accumbens-area,R,subcortical,632.0
005,47,R.caudalanteriorcingulate,R,cortex,2152.0
005,48,R.caudalmiddlefrontal,R,cortex,6112.0
005,49,R.cuneus,R,cortex,5264.0
005,50,R.entorhinal,R,cortex,1784.0
005,51,R.fusiform,R,cortex,8848.0
005,52,R.inferiorparietal,R,cortex,16032.0
005,53,R.inferiortemporal,R,cortex,11320.0
005,54,R.isthmuscingulate,R,cortex,2328.0
005,55,R.lateraloccipital,R,cortex,13712.0
005,56,R.lateralorbitofrontal,R,cortex,8728.0
005,57,R.lingual,R,cortex,7056.0
005,58,R.medialorbitofrontal,R,cortex,4488.0
005,59,R.middletemporal,R,cortex,15280.0
005,60,R.parahippocampal,R,cortex,2096.0
005,61,R.paracentral,R,cortex,3664.0
005,62,R.parsopercularis,R,cortex,4728.0
005,63,R.parsorbitalis,R,cortex,2736.0
005,64,R.parstriangularis,R,cortex,4008.0
005,65,R.pericalcarine,R,cortex,2440.0
005,66,R.postcentral,R,cortex,11096.0
005,67,R.posteriorcingulate,R,cortex,3128.0
005,68,R.precentral,R,cortex,12328.0
005,69,R.precuneus,R,cortex,11584.0
005,70,R.rostralanteriorcingulate,R,cortex,1856.0
005,71,R.rostralmiddlefrontal,R,cortex,12760.0
005,72,R.superiorfrontal,R,cortex,24352.0
005,73,R.superiorparietal,R,cortex,12256.0
005,74,R.superiortemporal,R,cortex,17984.0
005,75,R.supramarginal,R,cortex,9192.0
005,76,R.transversetemporal,R,cortex,792.0
005,77,R.insula,R,cortex,5984.0
005,78,R.Cerebellum-Cortex,R,cerebellum,52176.0
