subject,fs_default_index,name,side,region_type,volume_mm3
039,1,L.caudalanteriorcingulate,L,cortex,3472.0
039,2,L.caudalmiddlefrontal,L,cortex,7048.0
039,3,L.cuneus,L,cortex,4136.0
039,4,L.entorhinal,L,cortex,1720.0
039,5,L.fusiform,L,cortex,9112.0
039,6,L.inferiorparietal,L,cortex,16168.0
039,7,L.inferiortemporal,L,cortex,13760.0
039,8,L.isthmuscingulate,L,cortex,3192.0
039,9,L.lateraloccipital,L,cortex,17072.0
039,10,L.lateralorbitofrontal,L,cortex,9648.0
039,11,L.lingual,L,cortex,8344.0
039,12,L.medialorbitofrontal,L,cortex,5880.0
039,13,L.middletemporal,L,cortex,15440.0
039,14,L.parahippocampal,L,cortex,2208.0
039,15,L.paracentral,L,cortex,4504.0
039,16,L.parsopercularis,L,cortex,5624.0
039,17,L.parsorbitalis,L,cortex,2096.0
039,18,L.parstriangularis,L,cortex,6280.0
039,19,L.pericalcarine,L,cortex,1832.0
039,20,L.postcentral,L,cortex,12360.0
039,21,L.posteriorcingulate,L,cortex,3832.0
039,22,L.precentral,L,cortex,14768.0
039,23,L.precuneus,L,cortex,10168.0
039,24,L.rostralanteriorcingulate,L,cortex,4848.0
039,25,L.rostralmiddlefrontal,L,cortex,11880.0
039,26,L.superiorfrontal,L,cortex,27880.0
039,27,L.superiorparietal,L,cortex,13056.0
039,28,L.superiortemporal,L,cortex,21768.0
039,29,L.supramarginal,L,cortex,12800.0
039,30,L.transversetemporal,L,cortex,1304.0
039,31,L.insula,L,cortex,6712.0
039,32,L.Cerebellum-Cortex,L,cerebellum,64584.0
039,33,L.Thalamus-Proper,L,subcortical,10160.0
039,34,L.Caudate,L,subcortical,4368.0
039,35,L.Putamen,L,subcortical,5864.0
039,36,L.Pallidum,L,subcortical,2624.0
039,37,L.Hippocampus,L,subcortical,5120.0
039,38,L.Amygdala,L,subcortical,1904.0
039,39,L.Accumbens-area,L,subcortical,656.0
039,40,R.Thalamus-Proper,R,subcortical,9416.0
039,41,R.Caudate,R,subcortical,4392.0
039,42,R.Putamen,R,subcortical,5984.0
039,43,R.Pallidum,R,subcortical,2528.0
039,44,R.Hippocampus,R,subcortical,4576.0
039,45,R.Amygdala,R,subcortical,2120.0
039,46,R.Accumbens-area,R,subcortical,640.0
039,47,R.caudalanteriorcingulate,R,cortex,1952.0
039,48,R.caudalmiddlefrontal,R,cortex,6736.0
039,49,R.cuneus,R,cortex,4224.0
039,50,R.entorhinal,R,cortex,2360.0
039,51,R.fusiform,R,cortex,9360.0
039,52,R.inferiorparietal,R,cortex,20848.0
039,53,R.inferiortemporal,R,cortex,18976.0
039,54,R.isthmuscingulate,R,cortex,2816.0
039,55,R.lateraloccipital,R,cortex,14632.0
039,56,R.lateralorbitofrontal,R,cortex,9616.0
039,57,R.lingual,R,cortex,8280.0
039,58,R.medialorbitofrontal,R,cortex,5080.0
039,59,R.middletemporal,R,cortex,18096.0
039,60,R.parahippocampal,R,cortex,2000.0
039,61,R.paracentral,R,cortex,4376.0
039,62,R.parsopercularis,R,cortex,4760.0
039,63,R.parsorbitalis,R,cortex,2640.0
039,64,R.parstriangularis,R,cortex,4360.0
039,65,R.pericalcarine,R,cortex,2240.0
039,66,R.postcentral,R,cortex,12504.0
039,67,R.posteriorcingulate,R,cortex,3680.0
039,68,R.precentral,R,cortex,18000.0
039,69,R.precuneus,R,cortex,11376.0
039,70,R.rostralanteriorcingulate,R,cortex,3136.0
039,71,R.rostralmiddlefrontal,R,cortex,13464.0
039,72,R.superiorfrontal,R,cortex,31544.0
039,73,R.superiorparietal,R,cortex,13056.0
039,74,R.superiortemporal,R,cortex,19400.0
039,75,R.supramarginal,R,cortex,10544.0
039,76,R.transversetemporal,R,cortex,1000.0
039,77,R.insula,R,cortex,7688.0
039,78,R.Cerebellum-Cortex,R,cerebellum,68776.0
