subject,fs_default_index,name,side,region_type,volume_mm3
064,1,L.caudalanteriorcingulate,L,cortex,3232.0
064,2,L.caudalmiddlefrontal,L,cortex,6832.0
064,3,L.cuneus,L,cortex,5648.0
064,4,L.entorhinal,L,cortex,1536.0
064,5,L.fusiform,L,cortex,7888.0
064,6,L.inferiorparietal,L,cortex,11944.0
064,7,L.inferiortemporal,L,cortex,9016.0
064,8,L.isthmuscingulate,L,cortex,3232.0
064,9,L.lateraloccipital,L,cortex,12728.0
064,10,L.lateralorbitofrontal,L,cortex,6728.0
064,11,L.lingual,L,cortex,8384.0
064,12,L.medialorbitofrontal,L,cortex,4152.0
064,13,L.middletemporal,L,cortex,14208.0
064,14,L.parahippocampal,L,cortex,1720.0
064,15,L.paracentral,L,cortex,3736.0
064,16,L.parsopercularis,L,cortex,3936.0
064,17,L.parsorbitalis,L,cortex,2200.0
064,18,L.parstriangularis,L,cortex,3352.0
064,19,L.pericalcarine,L,cortex,2144.0
064,20,L.postcentral,L,cortex,9976.0
064,21,L.posteriorcingulate,L,cortex,2720.0
064,22,L.precentral,L,cortex,12624.0
064,23,L.precuneus,L,cortex,9176.0
064,24,L.rostralanteriorcingulate,L,cortex,2840.0
064,25,L.rostralmiddlefrontal,L,cortex,11856.0
064,26,L.superiorfrontal,L,cortex,22760.0
064,27,L.superiorparietal,L,cortex,11288.0
064,28,L.superiortemporal,L,cortex,16528.0
064,29,L.supramarginal,L,cortex,9040.0
064,30,L.transversetemporal,L,cortex,1360.0
064,31,L.insula,L,cortex,5856.0
064,32,L.Cerebellum-Cortex,L,cerebellum,51808.0
064,33,L.Thalamus-Proper,L,subcortical,7448.0
064,34,L.Caudate,L,subcortical,2920.0
064,35,L.Putamen,L,subcortical,4896.0
064,36,L.Pallidum,L,subcortical,2048.0
064,37,L.Hippocampus,L,subcortical,3928.0
064,38,L.Amygdala,L,subcortical,1400.0
064,39,L.Accumbens-area,L,subcortical,576.0
064,40,R.Thalamus-Proper,R,subcortical,7064.0
064,41,R.Caudate,R,subcortical,3072.0
064,42,R.Putamen,R,subcortical,5040.0
064,43,R.Pallidum,R,subcortical,1944.0
064,44,R.Hippocampus,R,subcortical,4080.0
064,45,R.Amygdala,R,subcortical,1680.0
064,46,R.Accumbens-area,R,subcortical,600.0
064,47,R.caudalanteriorcingulate,R,cortex,2704.0
064,48,R.caudalmiddlefrontal,R,cortex,6336.0
064,49,R.cuneus,R,cortex,5008.0
064,50,R.entorhinal,R,cortex,1384.0
064,51,R.fusiform,R,cortex,8432.0
064,52,R.inferiorparietal,R,cortex,12984.0
064,53,R.inferiortemporal,R,cortex,9696.0
064,54,R.isthmuscingulate,R,cortex,2184.0
064,55,R.lateraloccipital,R,cortex,14984.0
064,56,R.lateralorbitofrontal,R,cortex,6640.0
064,57,R.lingual,R,cortex,7952.0
064,58,R.medialorbitofrontal,R,cortex,4080.0
064,59,R.middletemporal,R,cortex,14560.0
064,60,R.parahippocampal,R,cortex,1824.0
064,61,R.paracentral,R,cortex,3872.0
064,62,R.parsopercularis,R,cortex,4704.0
064,63,R.parsorbitalis,R,cortex,2136.0
064,64,R.parstriangularis,R,cortex,4560.0
064,65,R.pericalcarine,R,cortex,2952.0
064,66,R.postcentral,R,cortex,9032.0
064,67,R.posteriorcingulate,R,cortex,3696.0
064,68,R.precentral,R,cortex,12656.0
064,69,R.precuneus,R,cortex,10048.0
064,70,R.rostralanteriorcingulate,R,cortex,2744.0
064,71,R.rostralmiddlefrontal,R,cortex,9960.0
064,72,R.superiorfrontal,R,cortex,23896.0
064,73,R.superiorparietal,R,cortex,10880.0
064,74,R.superiortemporal,R,cortex,15136.0
064,75,R.supramarginal,R,cortex,8696.0
064,76,R.transversetemporal,R,cortex,792.0
064,77,R.insula,R,cortex,5872.0
064,78,R.Cerebellum-Cortex,R,cerebellum,53664.0
