subject,roi_name,region_type,L_index,R_index,L_volume_mm3,R_volume_mm3,side_ai,log_ai
044,Accumbens-area,subcortical,39,46,536.0,640.0,-0.08843537414965986,-0.17733401528291554
044,Amygdala,subcortical,38,45,1328.0,1664.0,-0.11229946524064172,-0.22555029134477467
044,Caudate,subcortical,34,41,3872.0,4080.0,-0.026156941649899398,-0.05232581900173979
044,Cerebellum-Cortex,cerebellum,32,78,48512.0,49512.0,-0.010201583285725945,-0.020403874417153915
044,Hippocampus,subcortical,37,44,2688.0,2760.0,-0.013215859030837005,-0.026433257068155483
044,Pallidum,subcortical,36,43,1824.0,1856.0,-0.008695652173913044,-0.01739174271186922
044,Putamen,subcortical,35,42,4280.0,4296.0,-0.0018656716417910447,-0.0037313476128581356
044,Thalamus-Proper,subcortical,33,40,7096.0,6536.0,0.04107981220657277,0.08220588744957663
044,caudalanteriorcingulate,cortex,1,47,2800.0,2176.0,0.12540192926045016,0.2521310881874621
044,caudalmiddlefrontal,cortex,2,48,6120.0,6160.0,-0.003257328990228013,-0.006514681021193642
044,cuneus,cortex,3,49,4632.0,4936.0,-0.03177257525083612,-0.0635665463323926
044,entorhinal,cortex,4,50,1224.0,1408.0,-0.06990881458966565,-0.1400460736457164
044,fusiform,cortex,5,51,8296.0,7160.0,0.07349896480331262,0.14726348995467192
044,inferiorparietal,cortex,6,52,11776.0,13472.0,-0.06717363751584284,-0.13454989551345045
044,inferiortemporal,cortex,7,53,9912.0,10744.0,-0.040278853601859024,-0.08060131489409512
044,insula,cortex,31,77,4992.0,5496.0,-0.04805491990846682,-0.09618392385292167
044,isthmuscingulate,cortex,8,54,2416.0,2176.0,0.05226480836236934,0.10462495107887236
044,lateraloccipital,cortex,9,55,13176.0,14424.0,-0.04521739130434783,-0.09049649302567699
044,lateralorbitofrontal,cortex,10,56,6792.0,7112.0,-0.023014959723820484,-0.046038049202557246
044,lingual,cortex,11,57,7648.0,7592.0,0.003674540682414698,0.007349114441473331
044,medialorbitofrontal,cortex,12,58,3864.0,3824.0,0.005202913631633715,0.01040592116111682
044,middletemporal,cortex,13,59,12848.0,12832.0,0.0006230529595015577,0.0012461060802471558
044,paracentral,cortex,15,61,3632.0,3216.0,0.06074766355140187,0.121645109422327
044,parahippocampal,cortex,14,60,1688.0,1888.0,-0.05592841163310962,-0.11197367154954363
044,parsopercularis,cortex,16,62,4840.0,4792.0,0.0049833887043189366,0.009966859915392074
044,parsorbitalis,cortex,17,63,2104.0,1936.0,0.041584158415841586,0.0832163060210782
044,parstriangularis,cortex,18,64,3808.0,3464.0,0.047304730473047306,0.0946801262289302
044,pericalcarine,cortex,19,65,2472.0,2456.0,0.003246753246753247,0.0064935293105483115
044,postcentral,cortex,20,66,10320.0,8984.0,0.0692084542063821,0.1386385426172747
044,posteriorcingulate,cortex,21,67,3264.0,2760.0,0.08366533864541832,0.16772275737280198
044,precentral,cortex,22,68,12800.0,12616.0,0.007239534151715455,0.014479321264834125
044,precuneus,cortex,23,69,8488.0,9736.0,-0.0684811237928007,-0.13717695437354405
044,rostralanteriorcingulate,cortex,24,70,2736.0,1856.0,0.1916376306620209,0.3880733653962951
044,rostralmiddlefrontal,cortex,25,71,10232.0,9280.0,0.04879048790487905,0.09765851747843236
044,superiorfrontal,cortex,26,72,20528.0,23848.0,-0.07481521543176492,-0.14991054850248975
044,superiorparietal,cortex,27,73,9712.0,11224.0,-0.07222009935040122,-0.14469210848301733
044,superiortemporal,cortex,28,74,15608.0,14456.0,0.03831825439063331,0.07667405003088262
044,supramarginal,cortex,29,75,8656.0,8784.0,-0.007339449541284404,-0.014679162663049089
044,transversetemporal,cortex,30,76,1168.0,776.0,0.20164609053497942,0.4088956432049536
