subject,fs_default_index,name,side,region_type,volume_mm3
021,1,L.caudalanteriorcingulate,L,cortex,2504.0
021,2,L.caudalmiddlefrontal,L,cortex,3704.0
021,3,L.cuneus,L,cortex,4144.0
021,4,L.entorhinal,L,cortex,1736.0
021,5,L.fusiform,L,cortex,7248.0
021,6,L.inferiorparietal,L,cortex,12280.0
021,7,L.inferiortemporal,L,cortex,10016.0
021,8,L.isthmuscingulate,L,cortex,2352.0
021,9,L.lateraloccipital,L,cortex,10592.0
021,10,L.lateralorbitofrontal,L,cortex,6688.0
021,11,L.lingual,L,cortex,5944.0
021,12,L.medialorbitofrontal,L,cortex,3496.0
021,13,L.middletemporal,L,cortex,10208.0
021,14,L.parahippocampal,L,cortex,2288.0
021,15,L.paracentral,L,cortex,3632.0
021,16,L.parsopercularis,L,cortex,2672.0
021,17,L.parsorbitalis,L,cortex,1528.0
021,18,L.parstriangularis,L,cortex,2848.0
021,19,L.pericalcarine,L,cortex,1808.0
021,20,L.postcentral,L,cortex,8976.0
021,21,L.posteriorcingulate,L,cortex,2600.0
021,22,L.precentral,L,cortex,11816.0
021,23,L.precuneus,L,cortex,8648.0
021,24,L.rostralanteriorcingulate,L,cortex,2176.0
021,25,L.rostralmiddlefrontal,L,cortex,8704.0
021,26,L.superiorfrontal,L,cortex,21808.0
021,27,L.superiorparietal,L,cortex,9816.0
021,28,L.superiortemporal,L,cortex,14544.0
021,29,L.supramarginal,L,cortex,8696.0
021,30,L.transversetemporal,L,cortex,864.0
021,31,L.insula,L,cortex,4984.0
021,32,L.Cerebellum-Cortex,L,cerebellum,49232.0
021,33,L.Thalamus-Proper,L,subcortical,7056.0
021,34,L.Caudate,L,subcortical,3856.0
021,35,L.Putamen,L,subcortical,4648.0
021,36,L.Pallidum,L,subcortical,1920.0
021,37,L.Hippocampus,L,subcortical,3408.0
021,38,L.Amygdala,L,subcortical,1352.0
021,39,L.Accumbens-area,L,subcortical,472.0
021,40,R.Thalamus-Proper,R,subcortical,6664.0
021,41,R.Caudate,R,subcortical,3992.0
021,42,R.Putamen,R,subcortical,4408.0
021,43,R.Pallidum,R,subcortical,2136.0
021,44,R.Hippocampus,R,subcortical,3608.0
021,45,R.Amygdala,R,subcortical,1536.0
021,46,R.Accumbens-area,R,subcortical,472.0
021,47,R.caudalanteriorcingulate,R,cortex,1992.0
021,48,R.caudalmiddlefrontal,R,cortex,2832.0
021,49,R.cuneus,R,cortex,3600.0
021,50,R.entorhinal,R,cortex,1800.0
021,51,R.fusiform,R,cortex,6360.0
021,52,R.inferiorparietal,R,cortex,13224.0
021,53,R.inferiortemporal,R,cortex,9712.0
021,54,R.isthmuscingulate,R,cortex,2104.0
021,55,R.lateraloccipital,R,cortex,10856.0
021,56,R.lateralorbitofrontal,R,cortex,7064.0
021,57,R.lingual,R,cortex,6352.0
021,58,R.medialorbitofrontal,R,cortex,3480.0
021,59,R.middletemporal,R,cortex,10784.0
021,60,R.parahippocampal,R,cortex,1976.0
021,61,R.paracentral,R,cortex,3344.0
021,62,R.parsopercularis,R,cortex,3112.0
021,63,R.parsorbitalis,R,cortex,1608.0
021,64,R.parstriangularis,R,cortex,2552.0
021,65,R.pericalcarine,R,cortex,2312.0
021,66,R.postcentral,R,cortex,10000.0
021,67,R.posteriorcingulate,R,cortex,2576.0
021,68,R.precentral,R,cortex,12480.0
021,69,R.precuneus,R,cortex,8728.0
021,70,R.rostralanteriorcingulate,R,cortex,1976.0
021,71,R.rostralmiddlefrontal,R,cortex,9304.0
021,72,R.superiorfrontal,R,cortex,23152.0
021,73,R.superiorparietal,R,cortex,10888.0
021,74,R.superiortemporal,R,cortex,12632.0
021,75,R.supramarginal,R,cortex,7240.0
021,76,R.transversetemporal,R,cortex,520.0
021,77,R.insula,R,cortex,4632.0
021,78,R.Cerebellum-Cortex,R,cerebellum,51000.0
