subject,roi_name,region_type,L_index,R_index,L_volume_mm3,R_volume_mm3,side_ai,log_ai
068,Accumbens-area,subcortical,39,46,584.0,728.0,-0.10975609756097561,-0.22040006536845885
068,Amygdala,subcortical,38,45,1936.0,2272.0,-0.07984790874524715,-0.16003651200451968
068,Caudate,subcortical,34,41,3392.0,3496.0,-0.015098722415795587,-0.030199739863632405
068,Cerebellum-Cortex,cerebellum,32,78,53456.0,55520.0,-0.018939950080751725,-0.03788443058414833
068,Hippocampus,subcortical,37,44,5104.0,5216.0,-0.010852713178294573,-0.02170627858186306
068,Pallidum,subcortical,36,43,2440.0,2432.0,0.0016420361247947454,0.003284075201190019
068,Putamen,subcortical,35,42,5312.0,5536.0,-0.02064896755162242,-0.04130380614123575
068,Thalamus-Proper,subcortical,33,40,9368.0,9160.0,0.011226252158894647,0.022453447609377328
068,caudalanteriorcingulate,cortex,1,47,3176.0,2432.0,0.1326676176890157,0.2669085792809687
068,caudalmiddlefrontal,cortex,2,48,5880.0,5288.0,0.05300859598853868,0.10611665936115038
068,cuneus,cortex,3,49,6968.0,5816.0,0.09011264080100125,0.1807154993189834
068,entorhinal,cortex,4,50,2376.0,2160.0,0.047619047619047616,0.09531017980432493
068,fusiform,cortex,5,51,10152.0,8344.0,0.09775086505190311,0.19612801271361516
068,inferiorparietal,cortex,6,52,13640.0,14680.0,-0.03672316384180791,-0.07347937077105353
068,inferiortemporal,cortex,7,53,15248.0,14752.0,0.016533333333333334,0.03306968009760835
068,insula,cortex,31,77,6296.0,6784.0,-0.03730886850152905,-0.07465238737449985
068,isthmuscingulate,cortex,8,54,3520.0,2984.0,0.08241082410824108,0.16519630726849122
068,lateraloccipital,cortex,9,55,13832.0,14864.0,-0.0359632004460552,-0.07195743369049339
068,lateralorbitofrontal,cortex,10,56,9208.0,9352.0,-0.007758620689655172,-0.015517552750185763
068,lingual,cortex,11,57,8024.0,9816.0,-0.10044843049327354,-0.20157665674897585
068,medialorbitofrontal,cortex,12,58,5720.0,5600.0,0.01060070671378092,0.021202207650602906
068,middletemporal,cortex,13,59,15528.0,18200.0,-0.07922201138519924,-0.1587767482160405
068,paracentral,cortex,15,61,3952.0,4088.0,-0.01691542288557214,-0.033834073015781986
068,parahippocampal,cortex,14,60,2992.0,2480.0,0.0935672514619883,0.18768349993534006
068,parsopercularis,cortex,16,62,3368.0,4848.0,-0.1801363193768257,-0.364247152386933
068,parsorbitalis,cortex,17,63,2280.0,2776.0,-0.0981012658227848,-0.19683559967820868
068,parstriangularis,cortex,18,64,4224.0,5112.0,-0.09511568123393316,-0.1908081706712733
068,pericalcarine,cortex,19,65,2776.0,3368.0,-0.09635416666666667,-0.19330805373552226
068,postcentral,cortex,20,66,11408.0,10736.0,0.030346820809248554,0.060712283442614055
068,posteriorcingulate,cortex,21,67,3160.0,3944.0,-0.11036036036036036,-0.22162340914156828
068,precentral,cortex,22,68,13784.0,12776.0,0.03795180722891566,0.07594008831291726
068,precuneus,cortex,23,69,12176.0,12096.0,0.0032959789057350032,0.006591981682152742
068,rostralanteriorcingulate,cortex,24,70,3832.0,3016.0,0.1191588785046729,0.2394554099629045
068,rostralmiddlefrontal,cortex,25,71,11424.0,11912.0,-0.020911895783339046,-0.04182988978447934
068,superiorfrontal,cortex,26,72,24592.0,25216.0,-0.012528107934468359,-0.02505752687922852
068,superiorparietal,cortex,27,73,13872.0,13016.0,0.031835763165724486,0.06369305012144943
068,superiortemporal,cortex,28,74,20280.0,17832.0,0.06423173803526448,0.12864058263941475
068,supramarginal,cortex,29,75,10960.0,10888.0,0.0032954961552544857,0.006591016170704553
068,transversetemporal,cortex,30,76,1512.0,888.0,0.26,0.5322168137473082
