subject,roi_name,region_type,L_index,R_index,L_volume_mm3,R_volume_mm3,side_ai,log_ai
060,Accumbens-area,subcortical,39,46,848.0,744.0,0.06532663316582915,0.13083960095881128
060,Amygdala,subcortical,38,45,1792.0,2016.0,-0.058823529411764705,-0.11778303565638351
060,Caudate,subcortical,34,41,3992.0,4472.0,-0.05671077504725898,-0.11354337740358053
060,Cerebellum-Cortex,cerebellum,32,78,73344.0,71200.0,0.014832853663936241,0.0296678832342897
060,Hippocampus,subcortical,37,44,5184.0,4696.0,0.04939271255060729,0.09886587652417822
060,Pallidum,subcortical,36,43,2688.0,2576.0,0.02127659574468085,0.0425596144187959
060,Putamen,subcortical,35,42,6216.0,6440.0,-0.017699115044247787,-0.03540192705091595
060,Thalamus-Proper,subcortical,33,40,9864.0,9088.0,0.04094554664415365,0.08193690388324766
060,caudalanteriorcingulate,cortex,1,47,3816.0,2592.0,0.19101123595505617,0.3867729750960119
060,caudalmiddlefrontal,cortex,2,48,7776.0,6648.0,0.07820299500831947,0.15672600960499086
060,cuneus,cortex,3,49,4680.0,4448.0,0.025416301489921123,0.05084355298127402
060,entorhinal,cortex,4,50,2304.0,2088.0,0.04918032786885246,0.09844007281325251
060,fusiform,cortex,5,51,10040.0,9880.0,0.008032128514056224,0.016064602503806622
060,inferiorparietal,cortex,6,52,16216.0,15432.0,0.024772497472194135,0.04955513354627097
060,inferiortemporal,cortex,7,53,12128.0,11800.0,0.013707790036776997,0.027417297428396773
060,insula,cortex,31,77,7856.0,8120.0,-0.016524787180771158,-0.03305258312142187
060,isthmuscingulate,cortex,8,54,2120.0,1968.0,0.03718199608610567,0.07439829005385933
060,lateraloccipital,cortex,9,55,12704.0,14400.0,-0.06257378984651712,-0.125311302077175
060,lateralorbitofrontal,cortex,10,56,10256.0,10352.0,-0.004658385093167702,-0.00931683758023055
060,lingual,cortex,11,57,7344.0,7944.0,-0.03924646781789639,-0.07853327342468217
060,medialorbitofrontal,cortex,12,58,5920.0,5160.0,0.06859205776173286,0.13739986940244298
060,middletemporal,cortex,13,59,17680.0,15832.0,0.05514442587729768,0.11040084890923281
060,paracentral,cortex,15,61,6312.0,6184.0,0.010243277848911651,0.020487272258452333
060,parahippocampal,cortex,14,60,3288.0,2504.0,0.13535911602209943,0.2723900239560814
060,parsopercularis,cortex,16,62,5024.0,7816.0,-0.21744548286604362,-0.44194648557458405
060,parsorbitalis,cortex,17,63,2928.0,3208.0,-0.04563233376792699,-0.09132809390520294
060,parstriangularis,cortex,18,64,6256.0,4232.0,0.19298245614035087,0.3908663086870116
060,pericalcarine,cortex,19,65,2440.0,2896.0,-0.08545727136431784,-0.17133243521835942
060,postcentral,cortex,20,66,14936.0,14136.0,0.0275178866263071,0.0550496712220263
060,posteriorcingulate,cortex,21,67,4224.0,4824.0,-0.06631299734748011,-0.13282091302092397
060,precentral,cortex,22,68,15720.0,15968.0,-0.00782630648826054,-0.015652932568047662
060,precuneus,cortex,23,69,11872.0,10664.0,0.05360312389066383,0.1073091035486171
060,rostralanteriorcingulate,cortex,24,70,4848.0,2952.0,0.24307692307692308,0.4960833420287873
060,rostralmiddlefrontal,cortex,25,71,13304.0,17224.0,-0.12840670859538783,-0.2582390181714354
060,superiorfrontal,cortex,26,72,35568.0,40080.0,-0.05964467005076142,-0.11943109955476856
060,superiorparietal,cortex,27,73,10432.0,9712.0,0.035742652899126294,0.07151577086715476
060,superiortemporal,cortex,28,74,19768.0,18544.0,0.03194821465859261,0.06391818208891295
060,supramarginal,cortex,29,75,15800.0,13208.0,0.08935466078323222,0.1791872334150942
060,transversetemporal,cortex,30,76,1464.0,1200.0,0.0990990990990991,0.19885085874516517
