subject,roi_name,region_type,L_index,R_index,L_volume_mm3,R_volume_mm3,side_ai,log_ai
015,Accumbens-area,subcortical,39,46,368.0,408.0,-0.05154639175257732,-0.10318423623523075
015,Amygdala,subcortical,38,45,1304.0,1712.0,-0.13527851458885942,-0.2722258142150891
015,Caudate,subcortical,34,41,3216.0,3168.0,0.007518796992481203,0.015037877364540502
015,Cerebellum-Cortex,cerebellum,32,78,48264.0,48992.0,-0.0074853993583943405,-0.014971078336812665
015,Hippocampus,subcortical,37,44,3952.0,4912.0,-0.10830324909747292,-0.21745941095921992
015,Pallidum,subcortical,36,43,2072.0,1944.0,0.03187250996015936,0.06376661835898922
015,Putamen,subcortical,35,42,4624.0,4768.0,-0.015332197614991482,-0.030666798392972303
015,Thalamus-Proper,subcortical,33,40,6512.0,6312.0,0.015595757953836557,0.03119404515666614
015,caudalanteriorcingulate,cortex,1,47,3000.0,2240.0,0.1450381679389313,0.29213642280116114
015,caudalmiddlefrontal,cortex,2,48,5608.0,5008.0,0.05651846269781462,0.11315751593449161
015,cuneus,cortex,3,49,3496.0,3280.0,0.031877213695395513,0.06377603539723672
015,entorhinal,cortex,4,50,1656.0,1760.0,-0.03044496487119438,-0.06090875308699246
015,fusiform,cortex,5,51,7272.0,5784.0,0.11397058823529412,0.22893587201871413
015,inferiorparietal,cortex,6,52,13408.0,15000.0,-0.05604055195719516,-0.1121986573624828
015,inferiortemporal,cortex,7,53,9152.0,10320.0,-0.0599835661462613,-0.12011132541597454
015,insula,cortex,31,77,5040.0,5424.0,-0.03669724770642202,-0.0734274685548172
015,isthmuscingulate,cortex,8,54,2296.0,2048.0,0.0570902394106814,0.11430477128005863
015,lateraloccipital,cortex,9,55,10408.0,12688.0,-0.09871839279528923,-0.19808192368228797
015,lateralorbitofrontal,cortex,10,56,6416.0,6432.0,-0.0012453300124533001,-0.002490661312451919
015,lingual,cortex,11,57,5880.0,6312.0,-0.03543307086614173,-0.07089582163303759
015,medialorbitofrontal,cortex,12,58,3592.0,3768.0,-0.02391304347826087,-0.04783520627416345
015,middletemporal,cortex,13,59,11368.0,11152.0,0.009591474245115453,0.01918353677663137
015,paracentral,cortex,15,61,4632.0,3344.0,0.16148445336008024,0.325821045048239
015,parahippocampal,cortex,14,60,2520.0,1904.0,0.13924050632911392,0.28030196515415834
015,parsopercularis,cortex,16,62,3328.0,3360.0,-0.004784688995215311,-0.009569451016150672
015,parsorbitalis,cortex,17,63,1768.0,1848.0,-0.022123893805309734,-0.0442550090040407
015,parstriangularis,cortex,18,64,2448.0,2464.0,-0.003257328990228013,-0.006514681021193642
015,pericalcarine,cortex,19,65,1576.0,1704.0,-0.03902439024390244,-0.07808843697143658
015,postcentral,cortex,20,66,11128.0,10568.0,0.025811209439528023,0.05163388740111756
015,posteriorcingulate,cortex,21,67,2576.0,2888.0,-0.05710102489019034,-0.11432641278847258
015,precentral,cortex,22,68,11680.0,12584.0,-0.03725684141114408,-0.0745481883558957
015,precuneus,cortex,23,69,8056.0,8904.0,-0.05,-0.10008345855698253
015,rostralanteriorcingulate,cortex,24,70,3264.0,2064.0,0.22522522522522523,0.45830758948254424
015,rostralmiddlefrontal,cortex,25,71,10248.0,10584.0,-0.016129032258064516,-0.032260862218221435
015,superiorfrontal,cortex,26,72,24392.0,27360.0,-0.05735044056268357,-0.1148268830683961
015,superiorparietal,cortex,27,73,9760.0,9360.0,0.02092050209205021,0.041847109935500504
015,superiortemporal,cortex,28,74,15640.0,15680.0,-0.001277139208173691,-0.0025542798050967423
015,supramarginal,cortex,29,75,8240.0,8664.0,-0.025082820634169428,-0.050176165777309135
015,transversetemporal,cortex,30,76,1312.0,896.0,0.18840579710144928,0.3813675565291038
